basin,melt_season,granule,region,xatc_total,nphot_total
CW,2020,ATL03_20200722002619_04070805_006_01.h5,GRE_2000_CW.geojson,740495.852,10137664
CW,2020,ATL03_20200723000040_04220805_006_01.h5,GRE_2000_CW.geojson,469377.137,2557088
CW,2020,ATL03_20200725113304_04600803_006_01.h5,GRE_2000_CW.geojson,51731.029,2390640
CW,2020,ATL03_20200726001759_04680805_006_01.h5,GRE_2000_CW.geojson,271560.588,2272887
CW,2020,ATL03_20200730105906_05360803_006_01.h5,GRE_2000_CW.geojson,809308.838,6645915
CW,2020,ATL03_20200730234400_05440805_006_01.h5,GRE_2000_CW.geojson,1221550.645,3179270
CW,2020,ATL03_20200803105046_05970803_006_01.h5,GRE_2000_CW.geojson,1452386.392,11332521
CW,2020,ATL03_20200803233539_06050805_006_01.h5,GRE_2000_CW.geojson,1617525.868,2596085
CW,2020,ATL03_20200807104225_06580803_006_01.h5,GRE_2000_CW.geojson,2010027.779,11036898
CW,2020,ATL03_20200807232719_06660805_006_01.h5,GRE_2000_CW.geojson,1896079.493,3685005
CW,2020,ATL03_20200811103406_07190803_006_01.h5,GRE_2000_CW.geojson,2560932.619,25836877
CW,2020,ATL03_20200811231859_07270805_006_01.h5,GRE_2000_CW.geojson,2176368.625,21568687
CW,2020,ATL03_20200815102547_07800803_006_01.h5,GRE_2000_CW.geojson,2601160.912,44784577
CW,2020,ATL03_20200815231040_07880805_006_01.h5,GRE_2000_CW.geojson,2494578.539,15234709
CW,2020,ATL03_20200819101727_08410803_006_01.h5,GRE_2000_CW.geojson,2504974.806,35042576
CW,2020,ATL03_20200819230220_08490805_006_01.h5,GRE_2000_CW.geojson,881688.755,10269735
CW,2020,ATL03_20200823100907_09020803_006_01.h5,GRE_2000_CW.geojson,108676.544,2001759
CW,2020,ATL03_20200823225401_09100805_006_01.h5,GRE_2000_CW.geojson,564265.447,5340661
CW,2020,ATL03_20200824222822_09250805_006_01.h5,GRE_2000_CW.geojson,792290.416,6058876
CW,2020,ATL03_20200828093509_09780803_006_01.h5,GRE_2000_CW.geojson,284426.048,1337203
CW,2020,ATL03_20200828222002_09860805_006_01.h5,GRE_2000_CW.geojson,1136121.726,6398738
CW,2020,ATL03_20200901092648_10390803_006_02.h5,GRE_2000_CW.geojson,1154570.639,2208594
CW,2020,ATL03_20200901221141_10470805_006_02.h5,GRE_2000_CW.geojson,1491007.404,6722483
CW,2020,ATL03_20200905091828_11000803_006_02.h5,GRE_2000_CW.geojson,1879464.107,3813476
CW,2020,ATL03_20200909091009_11610803_006_02.h5,GRE_2000_CW.geojson,2522379.765,18614226
CW,2020,ATL03_20200909215502_11690805_006_02.h5,GRE_2000_CW.geojson,2053406.469,9536735
CW,2020,ATL03_20200913090149_12220803_006_02.h5,GRE_2000_CW.geojson,2590929.528,18366943
CW,2020,ATL03_20200913214643_12300805_006_02.h5,GRE_2000_CW.geojson,2442452.127,14981028
